rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
1,1,0,OLD,20235838,악은 존재하지 않는다,2024-03-27,13852898,31.7,-23044817,-62.5,210039154,1477,-1895,-56.2,20785,134,192,2024-04-01
2,2,1,OLD,20173226,패왕별희 디 오리지널,2017-03-30,7004668,16.0,-3475701,-33.2,1287422150,864,-422,-32.8,139937,92,122,2024-04-01
3,3,-1,OLD,20234619,로봇 드림,2024-03-13,5731099,13.1,-11948718,-67.6,245182925,585,-1019,-63.5,25025,38,57,2024-04-01
4,4,1,OLD,20101178,루팡 3세: 칼리오스트로의 성,2017-05-25,2649100,6.1,-4939800,-65.1,48634400,276,-443,-61.6,5367,78,103,2024-04-01
5,5,3,OLD,19869057,영웅본색,1987-05-23,2040773,4.7,-1583378,-43.7,148701936,268,-204,-43.2,21652,52,59,2024-04-01
6,6,8,OLD,19568053,상처뿐인 영광,1971-06-26,408000,0.9,78000,23.6,15340500,204,39,23.6,7608,1,4,2024-04-01
7,7,6,OLD,20080314,아비정전,1990-12-22,1419100,3.2,99383,7.5,246168082,184,-2,-1.1,32873,26,28,2024-04-01
8,8,1,OLD,20231459,탐정 말로,2024-03-21,1110500,2.5,-1517100,-57.7,138522000,151,-204,-57.5,18936,34,45,2024-04-01
9,9,-5,OLD,20247497,래빗스쿨 2: 부활절 대소동,2024-03-27,1023500,2.3,-7509490,-88,25865690,129,-880,-87.2,3182,33,34,2024-04-01
10,10,2,OLD,20247053,메이 디셈버,2024-03-13,941000,2.2,-793200,-45.7,302594382,114,-88,-43.6,32623,19,19,2024-04-01
1,1,0,OLD,20235838,악은 존재하지 않는다,2024-03-27,12635677,26.3,-1217221,-8.8,222674831,1347,-130,-8.8,22132,137,202,2024-04-02
2,2,0,OLD,20173226,패왕별희 디 오리지널,2017-03-30,5318489,11.1,-1686179,-24.1,1292740639,680,-184,-21.3,140617,82,115,2024-04-02
3,3,5,OLD,20231459,탐정 말로,2024-03-21,3500000,7.3,2389500,215.2,142022000,573,422,279.5,19509,40,61,2024-04-02
4,4,-1,OLD,20234619,로봇 드림,2024-03-13,5345839,11.1,-385260,-6.7,250528764,536,-49,-8.4,25561,37,52,2024-04-02
5,5,0,NEW,20233271,땅에 쓰는 시,2024-04-17,3024000,6.3,3024000,100,4756000,336,336,100,648,2,2,2024-04-02
6,6,-2,OLD,20101178,루팡 3세: 칼리오스트로의 성,2017-05-25,2899000,6.0,249900,9.4,51533400,289,13,4.7,5656,80,109,2024-04-02
7,7,0,NEW,20112777,솔로몬과 시바의 여왕,1972-11-24,528000,1.1,528000,100,21048000,264,264,100,9940,1,3,2024-04-02
8,8,-3,OLD,19869057,영웅본색,1987-05-23,1897539,3.9,-143234,-7,150599475,254,-14,-5.2,21906,56,62,2024-04-02
9,9,1,OLD,20247053,메이 디셈버,2024-03-13,1484117,3.1,543117,57.7,304078499,172,58,50.9,32795,28,29,2024-04-02
10,10,3,OLD,20231415,소풍,2024-02-07,991500,2.1,436461,78.6,3054113943,169,103,156.1,341982,15,18,2024-04-02
1,1,0,NEW,20231677,남은 인생 10년,2023-05-24,71882273,49.1,71882273,100,1540800873,7918,7918,100,145550,286,385,2024-04-03
2,2,0,OLD,20173226,패왕별희 디 오리지널,2017-03-30,9799171,6.7,4480682,84.2,1302539810,1384,704,103.5,142001,61,69,2024-04-03
