rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
1,1,0,OLD,20192206,백두산,2019-12-19,4430968920,37.3,1900868950,75.1,57336758690,498802,182608,57.8,6789304,1236,5845,2020-01-01
2,2,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,2092505020,17.6,916870400,78,9900747970,239149,89345,59.6,1204773,929,3439,2020-01-01
3,3,0,OLD,20198414,시동,2019-12-18,1691272350,14.3,589055650,53.4,22927750150,190455,54187,39.8,2716441,801,2997,2020-01-01
4,4,0,OLD,20196272,미드웨이,2019-12-31,1561075860,13.2,489446340,45.7,2646735380,174407,42527,32.2,307780,810,2614,2020-01-01
5,5,0,OLD,20197803,겨울왕국 2,2019-11-21,727968600,6.1,288393600,65.6,112324217320,83529,28067,50.6,13452593,665,1459,2020-01-01
6,6,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,373173440,3.1,179186900,92.4,5673115880,46436,19963,75.4,718558,539,900,2020-01-01
7,7,0,OLD,20192401,포드 V 페라리,2019-12-04,231285920,1.9,76080380,49,10843299600,24650,6100,32.9,1233057,195,378,2020-01-01
8,8,0,NEW,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,212853200,1.8,212853200,100,214514200,23488,23488,100,23639,228,860,2020-01-01
9,9,-1,OLD,20198430,나이브스 아웃,2019-12-04,134675900,1.1,17281300,14.7,5783536110,14532,393,2.8,681943,144,272,2020-01-01
10,10,-1,OLD,20199981,눈의 여왕4,2019-12-24,117990360,1.0,39093300,49.5,1162565320,14465,1066,8,158318,271,321,2020-01-01
1,1,0,OLD,20192206,백두산,2019-12-19,997483800,30.9,-3433485120,-77.5,58334242490,125013,-373789,-74.9,6914317,1241,5536,2020-01-02
2,2,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,499773350,15.5,-1592731670,-76.1,10400521320,63427,-175722,-73.5,1268200,904,3341,2020-01-02
3,3,0,OLD,20198414,시동,2019-12-18,463243940,14.3,-1228028410,-72.6,23390994090,57175,-133280,-70,2773616,779,2859,2020-01-02
4,4,0,OLD,20196272,미드웨이,2019-12-31,452837080,14.0,-1108238780,-71,3099572460,55793,-118614,-68,363573,797,2693,2020-01-02
5,5,0,OLD,20197803,겨울왕국 2,2019-11-21,228680460,7.1,-499288140,-68.6,112552897780,28801,-54728,-65.5,13481394,596,1253,2020-01-02
6,6,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,126831180,3.9,-246342260,-66,5799947060,17328,-29108,-62.7,735886,456,685,2020-01-02
7,7,1,OLD,20191408,21 브릿지: 테러 셧다운 ,2020-01-01,64817300,2.0,-148035900,-69.5,279331500,8560,-14928,-63.6,32199,228,823,2020-01-02
8,8,-1,OLD,20192401,포드 V 페라리,2019-12-04,72961660,2.3,-158324260,-68.5,10916261260,8516,-16134,-65.5,1241573,198,387,2020-01-02
9,9,0,NEW,20183002,해치지않아,2020-01-15,63660000,2.0,63660000,100,191893000,7589,7589,100,22626,44,44,2020-01-02
10,10,-1,OLD,20198430,나이브스 아웃,2019-12-04,55727980,1.7,-78947920,-58.6,5839264090,6599,-7933,-54.6,688542,147,279,2020-01-02
1,1,0,OLD,20192206,백두산,2019-12-19,1035750260,29.9,38266460,3.8,59369992750,118696,-6317,-5.1,7033013,1193,5565,2020-01-03
2,2,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,585181830,16.9,85408480,17.1,10985703150,68227,4800,7.6,1336427,897,3413,2020-01-03
3,3,1,OLD,20196272,미드웨이,2019-12-31,537679920,15.5,84842840,18.7,3637252380,60808,5015,9,424381,816,2858,2020-01-03
4,4,-1,OLD,20198414,시동,2019-12-18,509892160,14.7,46648220,10.1,23900886250,57987,812,1.4,2831603,774,2870,2020-01-03
5,5,0,OLD,20197803,겨울왕국 2,2019-11-21,234917700,6.8,6237240,2.7,112787815480,26833,-1968,-6.8,13508227,609,1255,2020-01-03
6,6,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,126574480,3.6,-256700,-0.2,5926521540,15749,-1579,-9.1,751635,456,673,2020-01-03
7,7,1,OLD,20192401,포드 V 페라리,2019-12-04,94895360,2.7,21933700,30.1,11011156620,10056,1540,18.1,1251629,200,397,2020-01-03
