rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
1,1,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,2893509165,38.8,-686119312,-19.2,36926118105,290717,-59184,-16.9,3728850,1706,5793,2024-01-01
2,2,0,OLD,20212866,서울의 봄,2023-11-22,2666429137,35.8,-649456909,-19.6,118016920547,262422,-64054,-19.6,12117201,1614,5444,2024-01-01
3,3,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,565417320,7.6,-69888800,-11,6071745009,58239,-6751,-10.4,626508,834,1671,2024-01-01
4,4,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,507984981,6.8,-156026099,-23.5,7967584753,49368,-14686,-22.9,772354,832,1611,2024-01-01
5,5,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,273538754,3.7,-16945147,-5.8,3383181955,28988,-1952,-6.3,365927,660,981,2024-01-01
6,6,1,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,113680587,1.5,2278496,2,3046919883,11586,190,1.7,332776,335,432,2024-01-01
7,7,-1,OLD,20235290,도티와 영원의 탑,2023-12-27,100024717,1.3,-13487835,-11.9,488186693,10704,-1268,-10.6,52400,357,419,2024-01-01
8,8,0,OLD,20234114,괴물,2023-11-29,92381680,1.2,-3768994,-3.9,3884333955,8710,-524,-5.7,396137,187,263,2024-01-01
9,9,0,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,53094530,0.7,-707720,-1.3,372974290,6471,67,1,45294,207,248,2024-01-01
10,10,1,OLD,20235980,말하고 싶은 비밀,2023-12-13,38025184,0.5,-2349427,-5.8,868379725,3765,-164,-4.2,89597,95,127,2024-01-01
1,1,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,657033879,33.9,-2236475286,-77.3,37583151984,70990,-219727,-75.6,3799840,1663,5285,2024-01-02
2,2,0,OLD,20212866,서울의 봄,2023-11-22,645476622,33.3,-2020952515,-75.8,118662397169,67766,-194656,-74.2,12184967,1467,4820,2024-01-02
3,3,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,178944713,9.2,-386472607,-68.4,6250689722,19367,-38872,-66.7,645875,711,1376,2024-01-02
4,4,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,142162716,7.3,-365822265,-72,8109747469,14940,-34428,-69.7,787294,812,1559,2024-01-02
5,5,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,67630105,3.5,-205908649,-75.3,3450812060,7557,-21431,-73.9,373484,478,651,2024-01-02
6,6,0,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,45552045,2.4,-68128542,-59.9,3092471928,4826,-6760,-58.3,337602,245,315,2024-01-02
7,7,1,OLD,20234114,괴물,2023-11-29,43315128,2.2,-49066552,-53.1,3927649083,4366,-4344,-49.9,400503,199,279,2024-01-02
8,8,-1,OLD,20235290,도티와 영원의 탑,2023-12-27,32972556,1.7,-67052161,-67,521159249,3777,-6927,-64.7,56177,301,345,2024-01-02
9,9,0,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,26098300,1.3,-26996230,-50.8,399072590,3343,-3128,-48.3,48637,183,209,2024-01-02
