movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
20192206,백두산,128,2019,20191219,개봉,장편,한국,어드벤처,이해준,"이병헌, 하정우, 마동석, 전혜진, 배수지, 이상원, 옥자연, 한수현, 강신철, 이경영, 조한철, 최광일, 김시아, 임형국, 박주환, 남성준, 김민식, 박지홍, 서현우, 김준원, 남문철, 박성근, 전도연, 손성찬, 서명찬, 양지수, 박준영, 양대혁, 김재철, 박지훈, 변우석, 지화섭, 김지민, 이정민, 허승, 차시원, 김훈만, 손영순, 박태산, 우진혁, 신성일, 김세윤, 김정현, 허지나, 김지훈, 한창민, 남상지, 김연교, 정윤하, 김하라, 이은희, 노종면, 이광연, 이종원, 김경수, 나경철, 박윤미, 염상훈, 차해리, 김태은, 서석규, 서문호, 장재희, 나경진, 김효준, 김성혁, 권수진, 임윤비, 장근영, 서문호, 한동훈, 오지영, 박정숙, 홍지아, 임수아, 권귀덕, 김기태, 김찬욱, 김양원, 김시원, 김대경, 강규현, 박범석, 이재한, 임무빈, 장나라, 서영재, 김통령, 최정현, 이한결, 안구희, 최홍락, 정상균, 이육헌, 권혁일, 이두원, 이창석, 장용희, 김동빈, 김영경, 김진문, 민병욱, 윤슬기, 이형주, 정진혁, 한동훈, 백경윤, 고한민, 허승, 양지수, 한동훈, 서문호, 김연교, 정한빈","2D, 2D, 2D, 4D","디지털, 디지털 영문자막, 디지털 가치봄, 4D",12세이상관람가
20184571,천문: 하늘에 묻는다,132,2019,20191226,개봉,장편,한국,사극,허진호,"최민식, 한석규, 신구, 김홍파, 허준호, 김태우, 김원해, 임원희, 오광록, 박성훈, 전여빈, 김승훈, 윤제문, 민경진, 이동용, 김승태, 최재섭, 이서환, 류지훈, 김성강, 박기륭, 김병남, 안문주, 현봉식, 이중옥, 조진결, 김형묵, 설도희, 강한샘, 김동현, 오세영, 강성하, 김준범, 최일순, 오희준, 배제기, 배준수, 조원재, 김진희, 이승훈, 오지영, 김현창, 황진호, 성레이, 이한성, 송용환, 황영수, 홍현종, 김용식, 최순영, 노현욱, 박문재, 정민, 조준혁, 유재윤, 김길중, 허도행, 이광식, 윤동주, 김세정, 김용, 김홍기, 배재완, 김시우, 임소현, 한희림, 문가희, 이서연, 김현선, 왕나경, 최진주, 정보람, 이나라, 홍달표, 문정혁, 이용호, 안세진, 김흥태, 이해만, 노승천, 김태응, 최태호, 이현일, 김유진, 이승호, 이한형, 박민규, 김경준, 김용운, 전동현, 김학준, 남준우, 박기명, 김영모, 김민서, 임정환, 송재현, 이시검, 주민준, 김기영, 김학충, 박규상, 이한솔","2D, 2D","디지털, 디지털 영문자막",12세이상관람가
20198414,시동,101,2019,20191218,개봉,장편,한국,드라마,최정열,"마동석, 박정민, 정해인, 염정아, 최성은, 김종수, 윤경호, 김경덕, 고두심, 박해준, 김민재, 이해운, 성혁, 손석배, 홍인, 이수빈, 방은정, 허준석, 김미화, 조재영, 김대곤, 강덕중, 박성일, 백주희, 김자영, 류성현, 권혁범, 정의욱, 유수빈, 조대희, 차우진, 조한준, 이태형, 승의열, 류제승, 임성재, 김원목, 곽수정, 이문석, 정병두, 서문호, 강태수, 박원준, 이육헌, 김시원, 김통령, 하재열, 최현종, 임동민, 김기태, 선율우, 오재세, 우광제, 이한결, 정상균, 정운, 최홍락, 선우, 강윤혜, 김보람, 김해정, 민서희, 전경석, 김주아, 박혜영","2D, 2D, 2D","디지털, 디지털 영문자막, 디지털 가치봄",15세이상관람가
20196272,미드웨이,138,2019,20191231,개봉,장편,미국,액션,롤랜드 에머리히,"에드 스크레인, 패트릭 윌슨, 우디 해럴슨, 루크 에반스, 아사노 타다노부, 닉 조나스",2D,디지털,15세이상관람가
20197803,겨울왕국 2,103,2019,20191121,개봉,장편,미국,애니메이션,크리스 벅,"크리스틴 벨, 이디나 멘젤, 조시 게드, 조나단 그로프","2D, 2D, 3D, 3D, 4D, 4D, IMAX, IMAX, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, IMAX, IMAX 3D, DOLBYCINEMA",전체관람가
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,96,2019,20191219,개봉,장편,한국,애니메이션,변영규,"김영은, 김채하, 신용우, 양정화, 김현지, 양정화, 조현정, 강성우, 김다올, 김다올, 김명준, 김현지, 박선영, 신용우, 이현, 이현, 최재호, 이소은, 이유서, 강새봄, 강성우, 김도희, 박시윤, 유 영, 이상호, 이상호, 이소은, 홍승효, 홍승효","2D, 4D","디지털, 4D",전체관람가
20192401,포드 V 페라리,152,2019,20191204,개봉,장편,미국,액션,제임스 맨골드,"맷 데이먼, 크리스찬 베일","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
20191408,21 브릿지: 테러 셧다운,99,2019,20200101,개봉,장편,미국,스릴러,브라이언 커크,"채드윅 보스만, J.K. 시몬스, 시에나 밀러, 테일러 키취",2D,디지털,15세이상관람가
20198430,나이브스 아웃,130,2018,20191204,개봉,장편,미국,미스터리,라이언 존슨,"다니엘 크레이그, 크리스 에반스, 아나 디 아르마스, 제이미 리 커티스, 마이클 섀넌, 돈 존슨, 크리스토퍼 플러머",2D,디지털,12세이상관람가
20199981,눈의 여왕4,87,2019,20191224,개봉,장편,러시아,애니메이션,로버트 렌스,"양정화, 박지윤, 임채헌, 박영재, 민승우, 민아, 임은정, 윤용식, 김현심, 조현정, 엄상현, 홍진욱, 남도형, 송하림","2D, 2D","디지털, 디지털 더빙",전체관람가
