movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
20234114,괴물,126,2023,20231129,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",68,2023,20231227,개봉,장편,영국,애니메이션,,,2D,디지털 더빙,전체관람가
20236080,류이치 사카모토: 오퍼스,103,2023,20231227,개봉,장편,일본,공연,소라 네오,사카모토 류이치,2D,디지털,전체관람가
20233299,크레센도,111,2023,20231220,개봉,장편,미국,다큐멘터리,헤더 윌크,,2D,디지털,전체관람가
20235923,사랑은 낙엽을 타고,80,2023,20231220,개봉,장편,핀란드,멜로/로맨스,아키 카우리스마키,,2D,디지털,12세이상관람가
20235693,리빙: 어떤 인생,102,2022,20231213,개봉,장편,영국,드라마,올리버 허머너스,"빌 나이, 에이미 루 우드, 알렉스 샤프, 톰 버크",2D,디지털,12세이상관람가
20234664,그대들은 어떻게 살 것인가,123,2023,20231025,개봉,장편,일본,애니메이션,미야자키 하야오,"스다 마사키, 시바사키 코우, 키무라 요시노, 기무라 타쿠야, 산토키 소마, 아이묭","2D, 2D, IMAX, DOLBYCINEMA","디지털, 디지털 더빙, IMAX, DOLBYCINEMA",전체관람가
20124722,피아니스트의 전설,120,1998,20200101,개봉,장편,이탈리아,드라마,쥬세페 토르나토레,"팀 로스, 프루잇 테일러 빈스, 멜라니 티에리","필름, 2D","필름, 디지털",15세관람가
20236533,립세의 사계,115,2023,20240110,개봉,장편,폴란드,애니메이션,DK 웰치먼,,2D,디지털,15세이상관람가
19860125,쿼바디스,175,1951,19730113,개봉,장편,미국,드라마,머빈 르로이,"데보라 카, 로버트 테일러, 레오 겐","필름, 2D","필름, 디지털","연소자관람가, "
20235905,티처스 라운지,98,2023,20231227,개봉,장편,독일,드라마,일커 카탁,,2D,디지털,12세이상관람가
20227654,수라,102,2022,20230621,개봉,장편,한국,다큐멘터리,황윤,황윤,"2D, 2D","디지털, 디지털 영문자막",전체관람가
20235924,클레오의 세계,84,2023,20240103,개봉,장편,프랑스,드라마,마리 아마추켈리,"루이스 모루아-팡자니, 일사 모레노 제고",2D,디지털,전체관람가
20235854,덤 머니,105,2023,20240117,개봉,장편,미국,코미디,크레이그 질레스피,"폴 다노, 세스 로건, 아메리카 페레라, 쉐일린 우들리",2D,디지털,15세이상관람가
20235353,길위에 김대중,125,2023,20240110,개봉,장편,한국,다큐멘터리,민환기,"김대중, 김도영, 김재록, 서석규, 김남희, 장현성","2D, 2D","디지털, 디지털 영문자막",12세이상관람가
20228560,너와 나,118,2023,20231025,개봉,장편,한국,드라마,조현철,"박혜수, 김시은","2D, 2D","디지털, 디지털 영문자막",12세이상관람가
19810057,콰이강의 다리,160,1957,19621103,개봉,장편,미국,드라마,데이빗 린,"알렉 기네스, 하야카와 세슈, 잭 호킨스","필름, 2D","필름, 디지털",연소자관람가
20236108,노 베어스,106,2022,20240110,개봉,장편,이란,드라마,자파르 파나히,,2D,디지털,12세이상관람가
20236464,도그맨,114,2023,20240124,개봉,장편,프랑스,드라마,뤽 베송,"케일럽 랜드리 존스, 조조 T. 깁스",2D,디지털,15세이상관람가
20101394,7인의 말괄량이,85,1976,19760115,개봉,장편,한국,드라마,김수형,"이영옥, 정소녀, 정규영, 홍윤정","필름, 2D","필름, 디지털","12세이상관람가, 12세이상관람가"
20236557,스즈메의 문단속: 다녀왔어,121,2022,20240110,개봉,장편,일본,애니메이션,신카이 마코토,"하라 나노카, 마츠무라 호쿠토","2D, 4D","디지털, 4D",12세이상관람가
20227650,이어지는 땅,86,2022,20240110,개봉,장편,한국,드라마,조희영,"공민정, 정회린, 류세일, 감동환, 김서경",2D,디지털,12세이상관람가
20235925,나의 올드 오크,112,2023,20240117,개봉,장편,아일랜드,드라마,켄 로치,"데이브 터너, 에블라 마리",2D,디지털,15세이상관람가
20178522,콜 미 바이 유어 네임,131,2017,20180322,개봉,장편,이탈리아,드라마,루카 구아다니노,"티모시 샬라메, 아미 해머, 마이클 스털버그, 아미라 캐사, 에스더 가렐",2D,디지털,청소년관람불가
20227073,신 에반게리온 극장판,154,2021,20221005,개봉,장편,일본,애니메이션,안노 히데아키,,"2D, 4D, DOLBYCINEMA","디지털, 4D, DOLBYCINEMA",15세이상관람가
20235073,라이즈,117,2022,20240117,개봉,장편,프랑스,드라마,세드릭 클라피쉬,"마리옹 바르보, 메디 바키, 호페쉬 쉑터, 프랑수아 시빌, 피오 마르마이, 수헤일라 야쿠브, 뮤리엘 로빈, 드니 포달리데스",2D,디지털,15세이상관람가
