rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,1479015600,68.2,698744500,89.6,31324845079,178941,64938,57,4025319,473,1979,2015-01-01
2,2,1,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,299346400,13.8,118500500,65.5,608002300,37741,10759,39.9,80633,196,650,2015-01-01
3,3,-1,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,233190700,10.7,43780000,23.1,3856612400,30978,3375,12.2,529298,246,415,2015-01-01
4,4,0,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,69620500,3.2,24180800,53.2,200984700,8446,1821,27.5,26316,169,367,2015-01-01
5,5,19,OLD,20143045,내일을 위한 시간,2015-01-01,26098700,1.2,25508700,4323.5,50568800,3035,2955,3693.8,6034,39,89,2015-01-01
6,6,-1,OLD,20141621,마미,2014-12-18,13704500,0.6,-857000,-5.9,288455700,1533,-587,-27.7,36655,32,47,2015-01-01
7,7,-1,OLD,20143343,무드 인디고,2014-12-11,10800500,0.5,1382500,14.7,276643700,1232,-104,-7.8,34616,26,44,2015-01-01
8,8,0,OLD,20143081,그 사람 그 사랑 그 세상,2014-11-20,9467000,0.4,489000,5.4,162552500,1202,69,6.1,22070,7,14,2015-01-01
9,9,-2,OLD,20142964,클라우즈 오브 실스마리아,2014-12-18,9570000,0.4,227500,2.4,181004299,1123,-189,-14.4,22730,20,25,2015-01-01
10,10,-1,OLD,20129490,산, ,1533000,0.1,75000,5.1,5523000,761,32,4.4,2746,1,4,2015-01-01
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,809774300,66.0,-669241300,-45.2,32134619379,100585,-78356,-43.8,4125904,471,1930,2015-01-02
2,2,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,177849329,14.5,-121497071,-40.6,785851629,23074,-14667,-38.9,103707,199,645,2015-01-02
3,3,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,138739700,11.3,-94451000,-40.5,3995352100,18862,-12116,-39.1,548160,208,342,2015-01-02
4,4,0,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,35432072,2.9,-34188428,-49.1,236416772,4538,-3908,-46.3,30854,172,369,2015-01-02
5,5,0,OLD,20143045,내일을 위한 시간,2015-01-01,16811500,1.4,-9287200,-35.6,67380300,2006,-1029,-33.9,8040,40,88,2015-01-02
6,6,0,OLD,20141621,마미,2014-12-18,10167500,0.8,-3537000,-25.8,298623200,1213,-320,-20.9,37868,33,45,2015-01-02
7,7,1,OLD,20143081,그 사람 그 사랑 그 세상,2014-11-20,9268000,0.8,-199000,-2.1,171820500,1160,-42,-3.5,23230,6,17,2015-01-02
8,8,-1,OLD,20143343,무드 인디고,2014-12-11,9884500,0.8,-916000,-8.5,286528200,1143,-89,-7.2,35759,31,49,2015-01-02
9,9,0,OLD,20142964,클라우즈 오브 실스마리아,2014-12-18,5678000,0.5,-3892000,-40.7,186682299,704,-419,-37.3,23434,21,26,2015-01-02
10,10,1,OLD,20141114,쿼바디스,2014-12-10,2486500,0.2,-1560400,-38.6,119516300,332,-177,-34.8,15731,14,21,2015-01-02
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,1055815200,68.6,246040900,30.4,33190434579,130560,29975,29.8,4256464,483,1928,2015-01-03
2,2,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,214813036,14.0,36963707,20.8,1000664665,27647,4573,19.8,131354,191,607,2015-01-03
3,3,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,146234100,9.5,7494400,5.4,4141586200,19882,1020,5.4,568042,229,357,2015-01-03
4,4,0,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,45638669,3.0,10206597,28.8,282055441,5618,1080,23.8,36472,176,335,2015-01-03
5,5,0,OLD,20143045,내일을 위한 시간,2015-01-01,22276600,1.4,5465100,32.5,89656900,2605,599,29.9,10645,40,87,2015-01-03
6,6,0,OLD,20141621,마미,2014-12-18,13772700,0.9,3605200,35.5,312395900,1588,375,30.9,39456,37,48,2015-01-03
7,7,1,OLD,20143343,무드 인디고,2014-12-11,10884000,0.7,999500,10.1,297412200,1276,133,11.6,37035,28,45,2015-01-03
8,8,1,OLD,20142964,클라우즈 오브 실스마리아,2014-12-18,9155700,0.6,3477700,61.2,195837999,1081,377,53.6,24515,22,26,2015-01-03
9,9,1,OLD,20141114,쿼바디스,2014-12-10,4403200,0.3,1916700,77.1,123919500,595,263,79.2,16326,17,25,2015-01-03
10,10,-3,OLD,20143081,그 사람 그 사랑 그 세상,2014-11-20,2730000,0.2,-6538000,-70.5,174550500,293,-867,-74.7,23523,5,12,2015-01-03
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,891550100,68.5,-164265100,-15.6,34081984679,110585,-19975,-15.3,4367049,486,1863,2015-01-04
2,2,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,191687300,14.7,-23125736,-10.8,1192351965,24456,-3191,-11.5,155810,192,581,2015-01-04
3,3,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,120875900,9.3,-25358200,-17.3,4262462100,16240,-3642,-18.3,584282,217,339,2015-01-04
4,4,0,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,29095000,2.2,-16543669,-36.2,311150441,3539,-2079,-37,40011,154,283,2015-01-04
5,5,0,OLD,20143045,내일을 위한 시간,2015-01-01,19510400,1.5,-2766200,-12.4,109167300,2268,-337,-12.9,12913,40,88,2015-01-04
6,6,0,OLD,20141621,마미,2014-12-18,12188100,0.9,-1584600,-11.5,324584000,1405,-183,-11.5,40861,34,47,2015-01-04
7,7,0,OLD,20143343,무드 인디고,2014-12-11,10580300,0.8,-303700,-2.8,307992500,1219,-57,-4.5,38254,28,41,2015-01-04
8,8,2,OLD,20143081,그 사람 그 사랑 그 세상,2014-11-20,8131000,0.6,5401000,197.8,182681500,890,597,203.8,24413,8,14,2015-01-04
9,9,-1,OLD,20142964,클라우즈 오브 실스마리아,2014-12-18,6365700,0.5,-2790000,-30.5,202203699,776,-305,-28.2,25291,20,25,2015-01-04
10,10,-1,OLD,20141114,쿼바디스,2014-12-10,2495500,0.2,-1907700,-43.3,126415000,331,-264,-44.4,16657,14,21,2015-01-04
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,298394000,63.3,-593156100,-66.5,34380378679,40645,-69940,-63.2,4407694,454,1787,2015-01-05
2,2,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,79415400,16.9,-112271900,-58.6,1271767365,10820,-13636,-55.8,166630,197,606,2015-01-05
3,3,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,30261600,6.4,-90614300,-75,4292723700,4293,-11947,-73.6,588575,166,255,2015-01-05
4,4,0,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,15928300,3.4,-13166700,-45.3,327078741,2124,-1415,-40,42135,162,302,2015-01-05
5,5,0,OLD,20143045,내일을 위한 시간,2015-01-01,10000000,2.1,-9510400,-48.7,119167300,1321,-947,-41.8,14234,39,83,2015-01-05
6,6,0,NEW,20144522,바티칸 뮤지엄,2015-01-08,12930000,2.7,12930000,100,12930000,1197,1197,100,1197,5,6,2015-01-05
7,7,-1,OLD,20141621,마미,2014-12-18,5764500,1.2,-6423600,-52.7,330348500,745,-660,-47,41606,31,38,2015-01-05
8,8,0,NEW,20144701,노엘의 선물,2015-02-05,4784000,1.0,4784000,100,5792000,598,598,100,766,2,2,2015-01-05
9,9,-2,OLD,20143343,무드 인디고,2014-12-11,4702000,1.0,-5878300,-55.6,312694500,590,-629,-51.6,38844,27,43,2015-01-05
10,10,-1,OLD,20142964,클라우즈 오브 실스마리아,2014-12-18,3029000,0.6,-3336700,-52.4,205232699,391,-385,-49.6,25682,17,22,2015-01-05
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,298868700,58.6,474700,0.2,34679247379,41099,454,1.1,4448793,466,1809,2015-01-06
2,2,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,90401600,17.7,10986200,13.8,1362168965,12506,1686,15.6,179136,193,599,2015-01-06
3,3,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,43145600,8.5,12884000,42.6,4335869300,6380,2087,48.6,594955,171,265,2015-01-06
4,4,3,OLD,20141621,마미,2014-12-18,19557300,3.8,13792800,239.3,349905800,2790,2045,274.5,44396,56,67,2015-01-06
5,5,-1,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,21177900,4.2,5249600,33,348256641,2783,659,31,44918,161,309,2015-01-06
6,6,-1,OLD,20143045,내일을 위한 시간,2015-01-01,9725000,1.9,-275000,-2.8,128892300,1272,-49,-3.7,15506,39,75,2015-01-06
7,7,0,NEW,20147710,고종황제와 의사 안중근, ,1631000,0.3,1631000,100,2673000,809,809,100,1328,1,4,2015-01-06
8,8,1,OLD,20143343,무드 인디고,2014-12-11,4366500,0.9,-335500,-7.1,317061000,560,-30,-5.1,39404,27,38,2015-01-06
9,9,1,OLD,20142964,클라우즈 오브 실스마리아,2014-12-18,3839900,0.8,810900,26.8,209072599,510,119,30.4,26192,20,26,2015-01-06
10,10,0,NEW,20148631,미라클 여행기,2015-01-15,3164000,0.6,3164000,100,4019000,452,452,100,623,1,1,2015-01-06
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,215772700,53.4,-83096000,-27.8,34895020079,29657,-11442,-27.8,4478450,428,1351,2015-01-07
2,2,13,OLD,20144481,타임 패러독스,2015-01-07,59514200,14.7,58282200,4730.7,104525200,7866,7690,4369.3,13485,229,626,2015-01-07
3,3,-1,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,31209900,7.7,-59191700,-65.5,1393378865,4262,-8244,-65.9,183398,102,181,2015-01-07
4,4,0,NEW,20140609,아메리칸 셰프,2015-01-07,20555400,5.1,20555400,100,35726400,2739,2739,100,4700,81,194,2015-01-07
5,5,-2,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,13910800,3.4,-29234800,-67.8,4349780100,2374,-4006,-62.8,597329,67,77,2015-01-07
6,6,0,OLD,20143045,내일을 위한 시간,2015-01-01,9823000,2.4,98000,1,138715300,1287,15,1.2,16793,44,80,2015-01-07
7,7,-2,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,7458000,1.8,-13719900,-64.8,355714641,991,-1792,-64.4,45909,23,29,2015-01-07
8,8,0,NEW,20144601,고양이 장례식,2015-01-15,8158000,2.0,8158000,100,8158000,990,990,100,990,5,5,2015-01-07
9,9,5,OLD,20124398,설해,2015-01-08,4867000,1.2,3691000,313.9,15046000,698,502,256.1,2031,12,19,2015-01-07
10,10,-3,OLD,20147710,고종황제와 의사 안중근, ,1372000,0.3,-259000,-15.9,4045000,686,-123,-15.2,2014,1,4,2015-01-07
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,206410100,51.0,-9362600,-4.3,35101430179,28207,-1450,-4.9,4506657,437,1350,2015-01-08
2,2,0,OLD,20144481,타임 패러독스,2015-01-07,64345800,15.9,4831600,8.1,168871000,8478,612,7.8,21963,228,628,2015-01-08
3,3,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,35331300,8.7,4121400,13.2,1428710165,4817,555,13,188215,92,158,2015-01-08
4,4,0,OLD,20140609,아메리칸 셰프,2015-01-07,33443400,8.3,12888000,62.7,69169800,4397,1658,60.5,9097,98,231,2015-01-08
5,5,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,16728900,4.1,2818100,20.3,4366509000,2850,476,20.1,600179,67,79,2015-01-08
6,6,0,OLD,20143045,내일을 위한 시간,2015-01-01,9320300,2.3,-502700,-5.1,148035600,1209,-78,-6.1,18002,41,70,2015-01-08
7,7,18,OLD,20143921,나의 사적인 여자친구,2015-01-08,4970500,1.2,4577500,1164.8,12620500,665,598,892.5,1679,32,63,2015-01-08
8,8,3,OLD,20141621,마미,2014-12-18,5052400,1.2,46400,0.9,359964200,614,-51,-7.7,45675,22,23,2015-01-08
9,9,7,OLD,20144522,바티칸 뮤지엄,2015-01-08,5092000,1.3,2291000,81.8,20823000,594,262,78.9,2123,49,66,2015-01-08
10,10,16,OLD,20143081,그 사람 그 사랑 그 세상,2014-11-20,2941000,0.7,2507000,577.6,186220500,576,510,772.7,25087,3,8,2015-01-08
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,218280200,48.0,11870100,5.8,35319710379,27841,-366,-1.3,4534498,454,1378,2015-01-09
2,2,0,OLD,20144481,타임 패러독스,2015-01-07,87961347,19.4,23615547,36.7,256832347,10978,2500,29.5,32941,231,637,2015-01-09
3,3,1,OLD,20140609,아메리칸 셰프,2015-01-07,46540761,10.2,13097361,39.2,115710561,5599,1202,27.3,14696,96,224,2015-01-09
4,4,-1,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,37820600,8.3,2489300,7,1466530765,4975,158,3.3,193190,101,178,2015-01-09
5,5,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,15006500,3.3,-1722400,-10.3,4381515500,2464,-386,-13.5,602643,65,75,2015-01-09
6,6,0,OLD,20143045,내일을 위한 시간,2015-01-01,10486200,2.3,1165900,12.5,158521800,1275,66,5.5,19277,41,69,2015-01-09
7,7,2,OLD,20144522,바티칸 뮤지엄,2015-01-08,7643500,1.7,2551500,50.1,28466500,814,220,37,2937,51,68,2015-01-09
8,8,-1,OLD,20143921,나의 사적인 여자친구,2015-01-08,5958500,1.3,988000,19.9,18579000,717,52,7.8,2396,31,60,2015-01-09
9,9,3,OLD,20143343,무드 인디고,2014-12-11,4748500,1.0,1907500,67.1,329643500,552,164,42.3,40994,23,31,2015-01-09
10,10,-2,OLD,20141621,마미,2014-12-18,3290000,0.7,-1762400,-34.9,363254200,418,-196,-31.9,46093,20,23,2015-01-09
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,429431400,51.5,211151200,96.7,35749141779,53485,25644,92.1,4587983,462,1393,2015-01-10
2,2,0,OLD,20144481,타임 패러독스,2015-01-07,135575961,16.3,47614614,54.1,392408308,16785,5807,52.9,49726,232,559,2015-01-10
3,3,0,OLD,20140609,아메리칸 셰프,2015-01-07,87284068,10.5,40743307,87.5,202994629,10424,4825,86.2,25120,102,222,2015-01-10
4,4,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,72040100,8.6,34219500,90.5,1538570865,9242,4267,85.8,202432,85,167,2015-01-10
5,5,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,26884400,3.2,11877900,79.2,4408399900,3724,1260,51.1,606367,87,109,2015-01-10
6,6,0,OLD,20143045,내일을 위한 시간,2015-01-01,18982700,2.3,8496500,81,177504500,2255,980,76.9,21532,41,69,2015-01-10
7,7,0,OLD,20144522,바티칸 뮤지엄,2015-01-08,13566900,1.6,5923400,77.5,42033400,1460,646,79.4,4397,50,66,2015-01-10
8,8,0,OLD,20143921,나의 사적인 여자친구,2015-01-08,10352000,1.2,4393500,73.7,28931000,1232,515,71.8,3628,31,60,2015-01-10
9,9,1,OLD,20141621,마미,2014-12-18,9638900,1.2,6348900,193,372893100,1128,710,169.9,47221,25,28,2015-01-10
10,10,-1,OLD,20143343,무드 인디고,2014-12-11,7246000,0.9,2497500,52.6,336889500,855,303,54.9,41849,27,34,2015-01-10
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,453807200,54.5,24375800,5.7,36202948979,56205,2720,5.1,4644188,461,1377,2015-01-11
2,2,0,OLD,20144481,타임 패러독스,2015-01-07,122257800,14.7,-13318161,-9.8,514666108,15111,-1674,-10,64837,230,535,2015-01-11
3,3,0,OLD,20140609,아메리칸 셰프,2015-01-07,82791200,9.9,-4492868,-5.1,285785829,10012,-412,-4,35132,106,224,2015-01-11
4,4,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,72333700,8.7,293600,0.4,1610904565,9178,-64,-0.7,211610,88,170,2015-01-11
5,5,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,27045900,3.2,161500,0.6,4435445800,3703,-21,-0.6,610070,82,103,2015-01-11
6,6,0,OLD,20143045,내일을 위한 시간,2015-01-01,17886800,2.1,-1095900,-5.8,195391300,2108,-147,-6.5,23640,41,68,2015-01-11
7,7,0,OLD,20144522,바티칸 뮤지엄,2015-01-08,14027300,1.7,460400,3.4,56060700,1510,50,3.4,5907,49,64,2015-01-11
8,8,0,OLD,20143921,나의 사적인 여자친구,2015-01-08,8691000,1.0,-1661000,-16,37622000,1067,-165,-13.4,4695,34,61,2015-01-11
9,9,0,OLD,20141621,마미,2014-12-18,7040600,0.8,-2598300,-27,379933700,856,-272,-24.1,48077,20,24,2015-01-11
10,10,0,OLD,20143343,무드 인디고,2014-12-11,6108000,0.7,-1138000,-15.7,342997500,709,-146,-17.1,42558,24,30,2015-01-11
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,151266100,48.2,-302541100,-66.7,36354215079,20654,-35551,-63.3,4664842,438,1298,2015-01-12
2,2,0,OLD,20144481,타임 패러독스,2015-01-07,50389900,16.1,-71867900,-58.8,565056008,6700,-8411,-55.7,71537,222,553,2015-01-12
3,3,0,OLD,20140609,아메리칸 셰프,2015-01-07,39730600,12.7,-43060600,-52,325516429,5244,-4768,-47.6,40376,106,243,2015-01-12
4,4,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,26897900,8.6,-45435800,-62.8,1637802465,3646,-5532,-60.3,215256,86,183,2015-01-12
5,5,1,OLD,20143045,내일을 위한 시간,2015-01-01,7378500,2.4,-10508300,-58.7,202769800,961,-1147,-54.4,24601,35,62,2015-01-12
6,6,-1,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,4929600,1.6,-22116300,-81.8,4440375400,772,-2931,-79.2,610842,46,52,2015-01-12
7,7,0,OLD,20144522,바티칸 뮤지엄,2015-01-08,5266800,1.7,-8760500,-62.5,61327500,616,-894,-59.2,6523,47,63,2015-01-12
8,8,0,OLD,20143921,나의 사적인 여자친구,2015-01-08,4469000,1.4,-4222000,-48.6,42091000,587,-480,-45,5282,29,52,2015-01-12
9,9,5,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,3585500,1.1,1043600,41.1,368860941,500,152,43.7,47700,15,16,2015-01-12
10,10,-1,OLD,20141621,마미,2014-12-18,3635400,1.2,-3405200,-48.4,383569100,443,-413,-48.2,48520,17,20,2015-01-12
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,161577000,47.2,10310900,6.8,36515792079,22483,1829,8.9,4687325,451,1322,2015-01-13
2,2,0,OLD,20144481,타임 패러독스,2015-01-07,52100600,15.2,1710700,3.4,617156608,7011,311,4.6,78548,229,555,2015-01-13
3,3,0,OLD,20140609,아메리칸 셰프,2015-01-07,41497200,12.1,1766600,4.4,367013629,5486,242,4.6,45862,111,254,2015-01-13
4,4,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,37942600,11.1,11044700,41.1,1675745065,5212,1566,43,220468,87,191,2015-01-13
5,5,0,OLD,20143045,내일을 위한 시간,2015-01-01,8823500,2.6,1445000,19.6,211593300,1153,192,20,25754,41,65,2015-01-13
6,6,0,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,7285500,2.1,2355900,47.8,4447660900,1148,376,48.7,611990,53,56,2015-01-13
7,7,0,OLD,20144522,바티칸 뮤지엄,2015-01-08,7270000,2.1,2003200,38,68597500,853,237,38.5,7376,50,66,2015-01-13
8,8,0,OLD,20143921,나의 사적인 여자친구,2015-01-08,5049900,1.5,580900,13,47140900,656,69,11.8,5938,31,54,2015-01-13
