Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Type,release_date_parsed,Korea,Title_Korea,Type_New
Hwarang: Season 1 // 화랑: 시즌1,No,2020-06-05,4600000.0,12.0,9.6,Documentary,"panties,teenager,friendship,party,female nudity","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",TV Show,2020-06-05,1,화랑: 시즌1,TV Show
Love After Divorce: Season 2 // 돌싱글즈: 시즌2,No,0,0.0,12.0,9.6,"Drama, Reality-TV",0,"A girl in search of her true reflection in a divided Naples: the Naples of the heights, which assumes a mask of refinement, and the Naples of the depths, a place of excess and vulgarity.",TV Show,,1,돌싱글즈: 시즌2,TV Show
FENGSHUI // 명당,No,2017-09-22,1200000.0,5.0,9.4,"Comedy, Drama, Romance","live action remake of anime,based on manga,gambler,based on comic book,live action remake","After their van breaks down in the middle of nowhere, the women of a volleyball team must fight for their lives against a group of degenerate hunters.",Movie,2017-09-22,1,명당,Movie
The Roundup // 범죄도시2,No,2019-01-25,200000.0,8.0,9.4,"Documentary, Comedy","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",Drea and Eleanor agree to go after one another&apos;s bullies.,Movie,2019-01-25,1,범죄도시2,Movie
Signal: Season 1 // 시그널: 시즌 1,No,2018-09-24,3100000.0,237.0,9.3,"Action, Adventure, Comedy","drug abuse,narcotic abuse,overdose,prostitution,heroin",Follows the tragedy in which terrorists detonated a bomb at the Boston Marathon&apos;s finish line; they carried out the attack by placing two homemade pressure-cooker bombs that resulted in three fatalities and numerous injuries.,TV Show,2018-09-24,1,시그널: 시즌 1,TV Show
Do You Like Brahms?: Season 1 // 브람스를 좋아하세요?: 시즌1,No,2016-03-18,800000.0,237.0,9.3,"Action, Comedy, Drama","child&apos;s point of view,reflection,cathartic therapy,archaeology,card","Dishes and utensils wash, dry, and stack themselves. A duster plays a silverware box like a piano while a salt-pepper-and-sugar set sings. The spoon proposes to the dish (interrupted by a cry from a baby spoon), then plays percuss...",TV Show,2016-03-18,1,브람스를 좋아하세요?: 시즌1,TV Show
Oh My Baby: Season 1 // 오 마이 베이비: 시즌1,Yes,2018-12-28,700000.0,237.0,9.3,"Biography, Drama, Romance","doctor,title spoken by character",takes two complete strangers who each think they&apos;re starting their first day at a new job. It&apos;s business as usual until their paths collide and these part-time jobs turn into full-time nightmares.,TV Show,2018-12-28,1,오 마이 베이비: 시즌1,TV Show
A Werewolf Boy // 늑대소년,No,2021-12-16,100000.0,237.0,9.3,"Action, Adventure, Drama","cabinet,girl,politics,husband wife relationship",Economical advisers give out their tips on how to get smart with money and take control over your economy.,Movie,2021-12-16,1,늑대소년,Movie
Hello Jadoo Special : Journey to west // 안녕 자두야 서유기 : 어쩌다 영웅,No,0,0.0,237.0,9.3,"Animation, Short",0,What is the formula for happiness? Alessandro Cattelan searches for the answer through interviews and unique experiences in this multigenre docu-show.,Movie,,1,안녕 자두야 서유기 : 어쩌다 영웅,Movie
Love Again: Season 2 // 우리 이혼했어요: 시즌2,No,0,0.0,237.0,9.3,Comedy,0,"Caught in the cross hairs of police corruption and Marseille&apos;s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",TV Show,,1,우리 이혼했어요: 시즌2,TV Show
