Type,Title,Overview,Release Date,Popularity,Vote Average,Vote Count,Original Title,Original Language,Genres,Comedy,Action & Adventure,Animation,,Crime,TV Movie,Drama,Documentary,Horror,Music,War,Sci-Fi & Fantasy,Kids,Family,Adventure,History,Action,Thriller,Reality,Mystery,Romance,Fantasy,War & Politics,Soap,Science Fiction,Talk,Western,News
tv,Trailer Park Boys,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,,466.03,7.7,235.0,,en,Comedy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tv,Trailer Park Boys: The SwearNet Show,"Take three Trailer Park Boys, add one dysfunctional TV network, stir in a bunch of illicit activity and a healthy dose of profanity. Whaddya get? A combo platter of comedy entertainment that will spawn shipping containers of laughter.",,57.413,10.0,1.0,,en,Comedy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tv,Trailer Park Boys: JAIL,"It's been peaceful and tranquil in Sunnyvale Trailer Park lately, but that's because The Boys aren't there. Ricky, Julian, and Bubbles are back...in JAIL.",,104.434,6.7,7.0,,en,Comedy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tv,Trailer Park Boys: Out of the Park: Europe,"A lot of liquor an whores, mustard and bologna, maybe some cigarettes and dope, but mostly just liquor and whores, cigarettes and balogna, as well as mustard and dope.",,45.425,6.3,28.0,,en,"Action & Adventure, Comedy",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
tv,Trailer Park Boys: The Animated Series,"Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.",,33.595,7.2,43.0,,en,"Animation, Comedy",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
tv,Trailer Park Boys: Out of the Park: USA,"The boys are back on the loose as Bubbles, Julian and Ricky head south of the Canadian border for some outrageous American adventures.",,26.047,7.0,10.0,,en,Comedy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tv,Trailer Park Boys: Park After Dark,"Hang out with Ricky, Julian and Bubbles in Ricky's kitchen, smoking, drinking and talking about whatever the hell pops up in their fucked up brains.",,11.398,0.0,0.0,,en,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,Trailer Park Boys: Live at Red Rocks,"Ricky, Julian, Bubbles, Lahey and Randy take to the stage of legendary Red Rocks Amphitheatre for a night of greasy fun. Featuring John Dunsworth's final performance as the greatest trailer park supervisor of them all, Jim Lahey.",2020-12-25,1.231,10.0,1.0,Trailer Park Boys: Live at Red Rocks,en,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
movie,Trailer Park Boys,"After a psychic predicts his death, a small-time hoodlum named Julian hires a cheap documentary film crew to document the last few days of his mis-spent life. This is the film that pioneered the show of the same name.",1999-07-15,4.813,7.1,50.0,Trailer Park Boys,en,Comedy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
movie,Trailer Park Boys: The Movie,"The boys get arrested for robbing an ATM machine and spend 18 months in jail. When the get out, they decide to pull off ""The Big Dirty"" which is to steal a large amount of coins because they are untraceable and quit their life of crime forever",2006-10-06,10.82,6.6,130.0,Trailer Park Boys: The Movie,en,Comedy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
