movieNm,movieCd,openDt,salesAcc,audiAcc,scrnCnt,showTm,typeNm,nationNm,genreNm,director,actor1,actor2,showTypeGroupNm,showTypeNm,audits,commercial,first_until_weekday_audiAcc,first_until_weekday_salesAcc,1_weeks_audiAcc,1_weeks_salesAcc,2_weeks_audiAcc,2_weeks_salesAcc,3_weeks_audiAcc,3_weeks_salesAcc,4_weeks_audiAcc,4_weeks_salesAcc,5_weeks_audiAcc,5_weeks_salesAcc,6_weeks_audiAcc,6_weeks_salesAcc,7_weeks_audiAcc,7_weeks_salesAcc,8_weeks_audiAcc,8_weeks_salesAcc
#살아있다,20193069,2020-06-24,15965329900,1903703,34890,97.0,장편,한국,드라마,조일형,유아인, 박신혜,"2D, 2D, 4D","디지털, 디지털 가치봄, 4D",15세이상관람가,0,1060001.0,8855344340.0,1194944.0,9956085460.0,1602183.0,13515987520.0,1817875.0,15397884280.0,1860440.0,15710673120.0,1894546.0,15926146620.0,1900331.0,15946026420.0,1900331.0,15946026420.0,1900331.0,15946026420.0
#아이엠히어,20197277,2021-01-14,119570530,14393,2350,97.0,장편,프랑스,멜로/로맨스,에릭 라티고,알랭 샤바, 배두나,2D,디지털,12세이상관람가,1,12061.0,99493130.0,14393.0,119570530.0,14393.0,119570530.0,14393.0,119570530.0,14393.0,119570530.0,14393.0,119570530.0,14393.0,119570530.0,14393.0,119570530.0,14393.0,119570530.0
0.0MHz,20188144,2019-05-29,1058297060,133522,3074,,,,,,,,,,,0,107081.0,846429270.0,121055.0,961382330.0,133522.0,1058297060.0,133522.0,1058297060.0,133522.0,1058297060.0,133522.0,1058297060.0,133522.0,1058297060.0,133522.0,1058297060.0,133522.0,1058297060.0
007 노 타임 투 다이,20191061,2021-09-29,11948538370,1222296,36288,163.0,장편,미국,액션,캐리 후쿠나가,다니엘 크레이그, 라미 말렉,"2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가,0,564241.0,5400660380.0,714296.0,6885662860.0,1066172.0,10430571900.0,1165620.0,11403168500.0,1203746.0,11773748890.0,1222296.0,11948538370.0,1222296.0,11948538370.0,1222296.0,11948538370.0,1222296.0,11948538370.0
007 스펙터,20157432,2015-11-11,14119375630,1797440,13404,,,,,,,,,,,0,1185137.0,9418687080.0,1344283.0,10606802980.0,1711319.0,13480417330.0,1791902.0,14076319930.0,1797440.0,14119375630.0,1797440.0,14119375630.0,1797440.0,14119375630.0,1797440.0,14119375630.0,1797440.0,14119375630.0
100% 울프: 푸들이 될 순 없어,20202128,2020-12-24,112849940,14153,2226,95.0,장편,호주,애니메이션,알렉스 스타더만,,,2D,디지털 더빙,전체관람가,1,8458.0,69444390.0,11030.0,89117620.0,14153.0,112849940.0,14153.0,112849940.0,14153.0,112849940.0,14153.0,112849940.0,14153.0,112849940.0,14153.0,112849940.0,14153.0,112849940.0
12 솔져스,20178395,2018-01-31,1771977900,215563,2698,,,,,,,,,,,1,129738.0,1064424900.0,154107.0,1259891800.0,215563.0,1771977900.0,215563.0,1771977900.0,215563.0,1771977900.0,215563.0,1771977900.0,215563.0,1771977900.0,215563.0,1771977900.0,215563.0,1771977900.0
13시간,20161630,2016-03-03,994858914,124249,2562,,,,,,,,,,,0,96884.0,788228314.0,124249.0,994858914.0,124249.0,994858914.0,124249.0,994858914.0,124249.0,994858914.0,124249.0,994858914.0,124249.0,994858914.0,124249.0,994858914.0,124249.0,994858914.0
1917,20192399,2020-02-19,7782639340,860622,36200,119.0,장편,미국,드라마,샘 멘데스,조지 맥케이, 딘-찰스 채프먼,"2D, 4D, IMAX, DOLBYCINEMA","디지털, 4D, IMAX, DOLBYCINEMA",15세이상관람가,0,283037.0,2630133100.0,321331.0,2971074520.0,455685.0,4177456640.0,556776.0,5130760760.0,620858.0,5705757360.0,676037.0,6197452320.0,714927.0,6518315460.0,738528.0,6723354000.0,764282.0,6950936060.0
1919 유관순,20197483,2019-03-14,440088410,53153,966,,,,,,,,,,,1,,,22696.0,189255210.0,30665.0,253102410.0,50515.0,419613410.0,53153.0,440088410.0,53153.0,440088410.0,53153.0,440088410.0,53153.0,440088410.0,53153.0,440088410.0
1942: 언노운 배틀,20200601,2020-07-29,37323620,4634,215,117.0,장편,러시아,전쟁,,,,2D,디지털,15세이상관람가,0,,,4634.0,37323620.0,4634.0,37323620.0,4634.0,37323620.0,4634.0,37323620.0,4634.0,37323620.0,4634.0,37323620.0,4634.0,37323620.0,4634.0,37323620.0
1947 보스톤,20197122,2023-09-27,9360399398,1012420,21355,108.0,장편,한국,드라마,강제규,하정우, 임시완,"2D, 2D, 2D, 4D, IMAX, ScreenX","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX",12세이상관람가,0,570825.0,5484758823.0,735536.0,7067580060.0,861252.0,8223150513.0,934494.0,8784022838.0,941876.0,8838161044.0,941876.0,8838161044.0,941876.0,8838161044.0,941876.0,8838161044.0,941876.0,8838161044.0
1980,20219375,2024-03-27,291901745,32237,2412,98.0,장편,한국,드라마,강승용,강신일, 김규리,2D,디지털,12세이상관람가,0,32237.0,291901745.0,32237.0,291901745.0,32237.0,291901745.0,32237.0,291901745.0,32237.0,291901745.0,32237.0,291901745.0,32237.0,291901745.0,32237.0,291901745.0,32237.0,291901745.0
1984 최동원,20201876,2021-11-11,49848810,5322,494,97.0,장편,한국,다큐멘터리,조은성,최동원, 조진웅,2D,디지털,전체관람가,1,,,5322.0,49848810.0,5322.0,49848810.0,5322.0,49848810.0,5322.0,49848810.0,5322.0,49848810.0,5322.0,49848810.0,5322.0,49848810.0,5322.0,49848810.0
1987,20170590,2017-12-27,57934612645,7201087,34973,,,,,,,,,,,0,1942077.0,15254004037.0,2690793.0,21357902737.0,4445061.0,35549328032.0,6032180.0,48501710145.0,6770007.0,54505261445.0,7078529.0,57000398245.0,7191677.0,57866398045.0,7201087.0,57934612645.0,7201087.0,57934612645.0
19곰 테드 2,20156749,2015-06-25,1347999100,167144,2639,,,,,,,,,,,0,89840.0,736533500.0,133198.0,1067855300.0,167144.0,1347999100.0,167144.0,1347999100.0,167144.0,1347999100.0,167144.0,1347999100.0,167144.0,1347999100.0,167144.0,1347999100.0,167144.0,1347999100.0
1급기밀,20168161,2018-01-24,1592776900,200090,3527,,,,,,,,,,,0,164380.0,1333325500.0,195768.0,1566157900.0,200090.0,1592776900.0,200090.0,1592776900.0,200090.0,1592776900.0,200090.0,1592776900.0,200090.0,1592776900.0,200090.0,1592776900.0,200090.0,1592776900.0
2001 스페이스 오디세이,19688005,,69169900,8087,15,149.0,장편,영국,SF,스탠리 큐브릭,,,"필름, 2D","필름, 디지털",,0,,,,,,,,,,,,,,,,,,
2020 청주영상위원회 '영화와 함께하는 11월' 관객과의 대화[GV],20202811,,3400000,680,1,48.0,옴니버스,한국,드라마,,,,2D,디지털,,0,,,,,,,,,,,,,,,,,,
"2022 영탁 단독 콘서트 ""탁쇼""",20232220,2023-06-28,867307000,36142,434,132.0,장편,한국,공연,송승연,,,2D,디지털,전체관람가,0,32667.0,783934000.0,36142.0,867307000.0,36142.0,867307000.0,36142.0,867307000.0,36142.0,867307000.0,36142.0,867307000.0,36142.0,867307000.0,36142.0,867307000.0,36142.0,867307000.0
21 브릿지: 테러 셧다운 ,20191408,2020-01-01,963750230,125493,1975,,,,,,,,,,,0,66366.0,577498400.0,79748.0,676966400.0,83949.0,707787200.0,83949.0,707787200.0,83949.0,707787200.0,83949.0,707787200.0,83949.0,707787200.0,83949.0,707787200.0,83949.0,707787200.0
23 아이덴티티,20170241,2017-02-22,13533849035,1666736,12078,,,,,,,,,,,0,966904.0,7847785700.0,1196692.0,9594698500.0,1562611.0,12677524935.0,1660606.0,13487380035.0,1666736.0,13533849035.0,1666736.0,13533849035.0,1666736.0,13533849035.0,1666736.0,13533849035.0,1666736.0,13533849035.0
3000년의 기다림,20228652,2023-01-04,147575560,14982,1131,108.0,장편,호주,멜로/로맨스,조지 밀러,틸다 스윈튼, 이드리스 엘바,2D,디지털,15세이상관람가,1,11859.0,122220482.0,14982.0,147575560.0,14982.0,147575560.0,14982.0,147575560.0,14982.0,147575560.0,14982.0,147575560.0,14982.0,147575560.0,14982.0,147575560.0,14982.0,147575560.0
30일,20228819,2023-10-03,21238216241,2163199,40710,119.0,장편,한국,코미디,남대중,강하늘, 정소민,"2D, 2D","디지털, 디지털 가치봄",12세이상관람가,0,619882.0,6115290021.0,774293.0,7654437617.0,1245935.0,12321034471.0,1348736.0,13297333133.0,1348736.0,13297333133.0,1348736.0,13297333133.0,1348736.0,13297333133.0,1348736.0,13297333133.0,1348736.0,13297333133.0
33,20162245,2016-04-07,305160900,39578,1883,,,,,,,,,,,0,34258.0,266741200.0,39578.0,305160900.0,39578.0,305160900.0,39578.0,305160900.0,39578.0,305160900.0,39578.0,305160900.0,39578.0,305160900.0,39578.0,305160900.0,39578.0,305160900.0
355,20212836,2022-02-09,406510590,46795,3440,122.0,장편,미국,액션,사이먼 킨버그,제시카 차스테인, 다이앤 크루거,2D,디지털,15세이상관람가,0,30563.0,282405060.0,36226.0,331480160.0,36226.0,331480160.0,36226.0,331480160.0,36226.0,331480160.0,36226.0,331480160.0,44195.0,393506590.0,44195.0,393506590.0,46795.0,406510590.0
3일의 휴가,20190324,2023-12-06,4688224385,496721,12474,105.0,장편,한국,판타지,육상효,김해숙, 신민아,"2D, 2D","디지털, 디지털 수화",12세이상관람가,0,216568.0,2056196817.0,268195.0,2522459223.0,465240.0,4382000711.0,496721.0,4688224385.0,496721.0,4688224385.0,496721.0,4688224385.0,496721.0,4688224385.0,496721.0,4688224385.0,496721.0,4688224385.0
45년 후,20158888,2016-05-05,135522100,17184,120,,,,,,,,,,,1,,,12876.0,101433000.0,17184.0,135522100.0,17184.0,135522100.0,17184.0,135522100.0,17184.0,135522100.0,17184.0,135522100.0,17184.0,135522100.0,17184.0,135522100.0
47 미터,20177181,2017-07-19,4671184757,588045,6872,,,,,,,,,,,0,439979.0,3556882957.0,523344.0,4189210357.0,588045.0,4671184757.0,588045.0,4671184757.0,588045.0,4671184757.0,588045.0,4671184757.0,588045.0,4671184757.0,588045.0,4671184757.0,588045.0,4671184757.0
47미터 2,20193665,2019-08-28,3843111153,501065,7858,,,,,,,,,,,0,311240.0,2515525810.0,352022.0,2845745600.0,455697.0,3723234773.0,455697.0,3723234773.0,455697.0,3723234773.0,455697.0,3723234773.0,492132.0,3833030653.0,501065.0,3843111153.0,501065.0,3843111153.0
4등,20145182,2016-04-13,146941500,18049,372,,,,,,,,,,,1,,,18049.0,146941500.0,18049.0,146941500.0,18049.0,146941500.0,18049.0,146941500.0,18049.0,146941500.0,18049.0,146941500.0,18049.0,146941500.0,18049.0,146941500.0
5.18 힌츠페터 스토리,20183381,2018-05-17,46937800,7100,125,,,,,,,,,,,1,,,7100.0,46937800.0,7100.0,46937800.0,7100.0,46937800.0,7100.0,46937800.0,7100.0,46937800.0,7100.0,46937800.0,7100.0,46937800.0,7100.0,46937800.0
500일의 썸머,20090683,2010-01-21,2345098030,295712,2461,95.0,장편,미국,드라마,마크 웹,조셉 고든 레빗, 주이 디샤넬,"필름, 2D","필름, 디지털","15세이상관람가, 15세이상관람가",1,,,,,,,,,,,,,,,,,,
50가지 그림자: 심연,20161141,2017-02-09,1513938000,180531,2938,,,,,,,,,,,0,109366.0,938572000.0,152504.0,1275721200.0,180531.0,1513938000.0,180531.0,1513938000.0,180531.0,1513938000.0,180531.0,1513938000.0,180531.0,1513938000.0,180531.0,1513938000.0,180531.0,1513938000.0
50가지 그림자: 해방,20180542,2018-02-21,1673789400,194900,2065,,,,,,,,,,,0,116592.0,1026138300.0,143408.0,1240860000.0,194900.0,1673789400.0,194900.0,1673789400.0,194900.0,1673789400.0,194900.0,1673789400.0,194900.0,1673789400.0,194900.0,1673789400.0,194900.0,1673789400.0
65,20231004,2023-04-20,41605477,4273,887,92.0,장편,미국,액션,스콧 벡,아담 드라이버, 아리나 그린블랫,"2D, 4D, DOLBYCINEMA","디지털, 4D, DOLBYCINEMA",12세이상관람가,0,,,4273.0,41605477.0,4273.0,41605477.0,4273.0,41605477.0,4273.0,41605477.0,4273.0,41605477.0,4273.0,41605477.0,4273.0,41605477.0,4273.0,41605477.0
7년-그들이 없는 언론,20163014,2017-01-12,19488000,2473,10,,,,,,,,,,,1,,,2473.0,19488000.0,2473.0,19488000.0,2473.0,19488000.0,2473.0,19488000.0,2473.0,19488000.0,2473.0,19488000.0,2473.0,19488000.0,2473.0,19488000.0
7년의 밤,20154908,2018-03-28,3930732524,521564,8358,,,,,,,,,,,0,418122.0,3148665724.0,465051.0,3497591724.0,519108.0,3911877224.0,521564.0,3930732524.0,521564.0,3930732524.0,521564.0,3930732524.0,521564.0,3930732524.0,521564.0,3930732524.0,521564.0,3930732524.0
7번째 내가 죽던 날,20174803,2017-05-31,234669400,30971,1322,,,,,,,,,,,1,25947.0,198539500.0,30971.0,234669400.0,30971.0,234669400.0,30971.0,234669400.0,30971.0,234669400.0,30971.0,234669400.0,30971.0,234669400.0,30971.0,234669400.0,30971.0,234669400.0
7번째 아들,20142561,2015-02-11,689713851,87080,2332,,,,,,,,,,,0,74742.0,595831251.0,87080.0,689713851.0,87080.0,689713851.0,87080.0,689713851.0,87080.0,689713851.0,87080.0,689713851.0,87080.0,689713851.0,87080.0,689713851.0,87080.0,689713851.0
7호실,20168754,2017-11-15,2635939439,341626,5904,,,,,,,,,,,0,271107.0,2109714437.0,305695.0,2364085137.0,341626.0,2635939439.0,341626.0,2635939439.0,341626.0,2635939439.0,341626.0,2635939439.0,341626.0,2635939439.0,341626.0,2635939439.0,341626.0,2635939439.0
800,20202366,2020-12-10,140511500,16489,2173,148.0,장편,중국,전쟁,관후,강무,,"2D, 4D, IMAX","디지털, 4D, IMAX",15세이상관람가,0,8384.0,71640000.0,11052.0,95085000.0,15293.0,133503500.0,15293.0,133503500.0,15293.0,133503500.0,16489.0,140511500.0,16489.0,140511500.0,16489.0,140511500.0,16489.0,140511500.0
80일간의 세계일주,20234174,2023-09-27,166309850,18777,794,82.0,장편,프랑스,애니메이션,,,,2D,디지털 더빙,전체관람가,0,14801.0,130856850.0,18777.0,166309850.0,18777.0,166309850.0,18777.0,166309850.0,18777.0,166309850.0,18777.0,166309850.0,18777.0,166309850.0,18777.0,166309850.0,18777.0,166309850.0
